Tematica,Indicador,Titulo,Enlace,Otros
parque_vehiculos,Otros indicadores,Parque de vehículos en circulación según tipos de vehículo y tipos de combustible,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:af270e8e-3b4b-4bfd-91ef-71231562bf9e&uripub=urn:uuid:172cc83a-4789-4f72-bf57-a4d0147c0656,Parque
parque_vehiculos,Otros indicadores,Parque de vehículos en circulación según tipos de vehículo y tipos de combustible,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:af270e8e-3b4b-4bfd-91ef-71231562bf9e&uripub=urn:uuid:172cc83a-4789-4f72-bf57-a4d0147c0656,Tipos de combustible
parque_vehiculos,Otros indicadores,Vehículos matriculados según tipos de vehículo,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:a7b9825b-ad07-4610-aa79-0f9fa76afba7&uripub=urn:uuid:dd6e7a1d-8156-4fe7-be7e-e042bbb02873,Matriculaciones
sector_primario,Tema,Sector primario,http://www.gobiernodecanarias.org/istac/estadisticas/sectorprimario/,Sector primario
sector_primario,Indicador principal,Superficie cultivada,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=SUPERFICIE_CULTIVO#visualization/table,Indicador principal
sector_primario,Indicadores principales,Superficie cultivada. Secano,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=SUPERFICIE_CULTIVO_SECANO#visualization/table,Secano
sector_primario,Indicadores principales,Superficie cultivada. Regadío,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=SUPERFICIE_CULTIVO_REGADIO#visualization/table,Regadío
sector_primario,Otros indicadores 1,Superficie de cultivos herbáceos según cultivos y sistemas de cultivo,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:fc6d7c86-8956-4d3b-91f0-50ec367baf57&uripub=urn:uuid:ef5f2e5c-e2c4-4c1d-b5ed-c20fe946ce6f,Cultivos herbáceos
sector_primario,Otros indicadores 1,Superficie en plantación regular y árboles diseminados de cultivos leñosos según cultivos y sistemas de cultivo,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:803af13a-04f6-4789-8e78-48f5fdff64a7&uripub=urn:uuid:ef5f2e5c-e2c4-4c1d-b5ed-c20fe946ce6f,Cultivos leñosos
sector_primario,Otros indicadores 2,Número de explotaciones según especies,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E01008B_000002&version=~latest#visualization/table,Número de explotaciones
sector_primario,Otros indicadores 2,Efectivos de ganado según especies,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E01008B_000001&version=~latest#visualization/table,Número de cabezas/colmenas
sector_primario,Otros indicadores 2,Cabezas de ganado. Bovino,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=GANADO_BOVINO#visualization/table,Bovinos
sector_primario,Otros indicadores 2,Cabezas de ganado. Caprino,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=GANADO_CAPRINO#visualization/table,Caprinos
sector_primario,Otros indicadores 2,Cabezas de ganado. Ovino,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=GANADO_OVINO#visualization/table,Ovinos
sector_primario,Otros indicadores 2,Cabezas de ganado. Porcino,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=GANADO_PORCINO#visualization/table,Porcinos
sector_primario,Otros indicadores 2,Efectivos de ganado apícola según sistemas productivos,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E01008B_000010&version=~latest#visualization/table,Colmenas
